#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
4763	NF1	1	10.54	[{'HP:0002624': 0.2}, {'HP:0009732': 1.0}, {'HP:0030693': 0.2}, {'HP:0009592': 0.7}, {'HP:0100545': 0.7}, {'HP:0002315': 0.7}, {'HP:0000980': 0.5}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 1.0}, {'HP:0007663': 0.2}, {'HP:0009733': 1.0}, {'HP:0000822': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Plexiform neurofibroma': 1.0}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.7}, {'Arterial stenosis': 0.7}, {'Headache': 0.7}, {'Pallor': 0.5}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 1.0}, {'Reduced visual acuity': 0.2}, {'Glioma': 1.0}, {'Hypertension': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4893	NRAS	12	6.53	[{'HP:0001270': 0.2}, {'HP:0009732': 0.5}, {'HP:0030693': 0.5}, {'HP:0009592': 0.5}, {'HP:0100545': 0.5}, {'HP:0001317': 0.2}, {'HP:0002315': 0.2}, {'HP:0001067': 0.5}, {'HP:0009733': 0.2}, {'HP:0000822': 0.2}]	[{'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.5}, {'Arterial stenosis': 0.5}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.2}, {'Neurofibromas': 0.5}, {'Glioma': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1499	CTNNB1	13	6.39	[{'HP:0002624': 0.2}, {'HP:0001270': 0.4}, {'HP:0030693': 0.2}, {'HP:0009592': 0.2}, {'HP:0012286': 0.5}, {'HP:0100545': 0.2}, {'HP:0001317': 0.4}, {'HP:0002315': 0.5}, {'HP:0000980': 0.2}, {'HP:0001056': 0.2}, {'HP:0007663': 0.2}, {'HP:0009733': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.4}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.5}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.4}, {'Headache': 0.5}, {'Pallor': 0.2}, {'Milia': 0.2}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
6622	SNCA	14	6.34	[{'HP:0002624': 0.2}, {'HP:0009732': 0.2}, {'HP:0030693': 0.2}, {'HP:0009592': 0.2}, {'HP:0012286': 0.5}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.2}, {'HP:0000980': 0.5}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 0.2}, {'HP:0007663': 0.2}, {'HP:0009733': 0.2}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.5}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.2}, {'Pallor': 0.5}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 0.2}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5781	PTPN11	15	6.21	[{'HP:0002624': 0.2}, {'HP:0001270': 0.2}, {'HP:0009732': 0.5}, {'HP:0009592': 0.5}, {'HP:0012286': 0.2}, {'HP:0100545': 0.7}, {'HP:0001056': 0.5}, {'HP:0001067': 0.7}, {'HP:0009733': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.5}, {'Astrocytoma': 0.5}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.7}, {'Milia': 0.5}, {'Neurofibromas': 0.7}, {'Glioma': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2261	FGFR3	16	6.04	[{'HP:0002624': 0.2}, {'HP:0001270': 0.4}, {'HP:0030693': 0.5}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.5}, {'HP:0000980': 0.2}, {'HP:0001067': 0.5}, {'HP:0007663': 0.2}, {'HP:0009733': 0.5}]	[{'Abnormal venous morphology': 0.2}, {'Motor delay': 0.4}, {'Supratentorial neoplasm': 0.5}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.5}, {'Pallor': 0.2}, {'Neurofibromas': 0.5}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4000	LMNA	17	5.94	[{'HP:0002624': 0.7}, {'HP:0001270': 0.2}, {'HP:0012286': 0.5}, {'HP:0100545': 0.5}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0000822': 0.5}]	[{'Abnormal venous morphology': 0.7}, {'Motor delay': 0.2}, {'Abnormal hypothalamus morphology': 0.5}, {'Arterial stenosis': 0.5}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Hypertension': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
6392	SDHD	18	5.9	[{'HP:0001270': 0.2}, {'HP:0009732': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.7}, {'HP:0000980': 0.5}, {'HP:0001067': 0.5}, {'HP:0007663': 0.2}, {'HP:0000822': 0.7}]	[{'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.7}, {'Pallor': 0.5}, {'Neurofibromas': 0.5}, {'Reduced visual acuity': 0.2}, {'Hypertension': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3815	KIT	19	5.7	[{'HP:0009732': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0100545': 0.2}, {'HP:0002315': 0.5}, {'HP:0000980': 0.2}, {'HP:0001056': 0.5}, {'HP:0001067': 1.0}, {'HP:0009733': 0.2}]	[{'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Arterial stenosis': 0.2}, {'Headache': 0.5}, {'Pallor': 0.2}, {'Milia': 0.5}, {'Neurofibromas': 1.0}, {'Glioma': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
675	BRCA2	20	5.63	[{'HP:0030693': 0.5}, {'HP:0009592': 0.5}, {'HP:0012286': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0001056': 0.5}, {'HP:0009733': 1.0}, {'HP:0000822': 0.2}]	[{'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.5}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Milia': 0.5}, {'Glioma': 1.0}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2260	FGFR1	21	5.31	[{'HP:0030693': 0.2}, {'HP:0009592': 0.7}, {'HP:0012286': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.2}, {'HP:0001056': 0.2}, {'HP:0001067': 0.2}, {'HP:0001254': 0.2}, {'HP:0009733': 0.7}]	[{'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.7}, {'Abnormal hypothalamus morphology': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.2}, {'Milia': 0.2}, {'Neurofibromas': 0.2}, {'Lethargy': 0.2}, {'Glioma': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4771	NF2	22	5.26	[{'HP:0009732': 0.5}, {'HP:0030693': 0.2}, {'HP:0009592': 0.7}, {'HP:0001317': 0.2}, {'HP:0002315': 0.5}, {'HP:0001067': 1.0}, {'HP:0007663': 0.2}, {'HP:0009733': 0.7}]	[{'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.7}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.5}, {'Neurofibromas': 1.0}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
351	APP	23	5.09	[{'HP:0002624': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0012286': 0.2}, {'HP:0100545': 0.5}, {'HP:0002315': 0.7}, {'HP:0001056': 0.2}, {'HP:0007663': 0.2}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.5}, {'Headache': 0.7}, {'Milia': 0.2}, {'Reduced visual acuity': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
324	APC	24	5.08	[{'HP:0030693': 0.2}, {'HP:0009592': 0.2}, {'HP:0012286': 0.2}, {'HP:0002315': 0.2}, {'HP:0000980': 0.5}, {'HP:0001056': 0.2}, {'HP:0001067': 0.5}, {'HP:0007663': 0.2}, {'HP:0009733': 0.5}]	[{'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Headache': 0.2}, {'Pallor': 0.5}, {'Milia': 0.2}, {'Neurofibromas': 0.5}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4292	MLH1	25	5.08	[{'HP:0009732': 0.5}, {'HP:0030693': 0.2}, {'HP:0009592': 0.7}, {'HP:0002315': 0.2}, {'HP:0001056': 0.2}, {'HP:0001067': 0.7}, {'HP:0009733': 0.7}]	[{'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.7}, {'Headache': 0.2}, {'Milia': 0.2}, {'Neurofibromas': 0.7}, {'Glioma': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1080	CFTR	26	5.07	[{'HP:0002624': 0.5}, {'HP:0001270': 0.2}, {'HP:0009732': 0.2}, {'HP:0030693': 0.2}, {'HP:0012286': 0.2}, {'HP:0002315': 0.2}, {'HP:0000980': 0.2}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 0.2}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.5}, {'Motor delay': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Headache': 0.2}, {'Pallor': 0.2}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3077	HFE	27	5.02	[{'HP:0002624': 0.2}, {'HP:0030693': 0.5}, {'HP:0009592': 0.2}, {'HP:0002315': 0.2}, {'HP:0001056': 0.5}, {'HP:0025502': 0.2}, {'HP:0001254': 0.7}, {'HP:0009733': 0.2}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Supratentorial neoplasm': 0.5}, {'Astrocytoma': 0.2}, {'Headache': 0.2}, {'Milia': 0.5}, {'Overweight': 0.2}, {'Lethargy': 0.7}, {'Glioma': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
57674	RNF213	28	4.98	[{'HP:0002624': 0.2}, {'HP:0009732': 0.5}, {'HP:0030693': 0.2}, {'HP:0012286': 0.2}, {'HP:0100545': 0.7}, {'HP:0001317': 0.2}, {'HP:0002315': 0.5}, {'HP:0001056': 0.5}, {'HP:0001067': 0.5}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.7}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.5}, {'Milia': 0.5}, {'Neurofibromas': 0.5}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5663	PSEN1	29	4.93	[{'HP:0002624': 0.2}, {'HP:0009732': 0.2}, {'HP:0030693': 0.2}, {'HP:0012286': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0002315': 0.2}, {'HP:0000980': 0.2}, {'HP:0025502': 0.2}, {'HP:0007663': 0.2}, {'HP:0009733': 0.2}, {'HP:0000822': 0.2}]	[{'Abnormal venous morphology': 0.2}, {'Plexiform neurofibroma': 0.2}, {'Supratentorial neoplasm': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.2}, {'Pallor': 0.2}, {'Overweight': 0.2}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
51684	SUFU	30	4.92	[{'HP:0001270': 0.2}, {'HP:0030693': 0.2}, {'HP:0009592': 0.2}, {'HP:0001317': 0.6}, {'HP:0002315': 0.2}, {'HP:0001056': 0.7}, {'HP:0001067': 0.5}, {'HP:0007663': 0.2}, {'HP:0009733': 0.2}]	[{'Motor delay': 0.2}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.2}, {'Abnormal cerebellum morphology': 0.6}, {'Headache': 0.2}, {'Milia': 0.7}, {'Neurofibromas': 0.5}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4854	NOTCH3	31	4.75	[{'HP:0002624': 0.7}, {'HP:0001270': 0.2}, {'HP:0030693': 0.2}, {'HP:0100545': 0.7}, {'HP:0001317': 0.2}, {'HP:0002315': 0.5}, {'HP:0000980': 0.2}, {'HP:0001067': 0.2}, {'HP:0000822': 0.5}]	[{'Abnormal venous morphology': 0.7}, {'Motor delay': 0.2}, {'Supratentorial neoplasm': 0.2}, {'Arterial stenosis': 0.7}, {'Abnormal cerebellum morphology': 0.2}, {'Headache': 0.5}, {'Pallor': 0.2}, {'Neurofibromas': 0.2}, {'Hypertension': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1029	CDKN2A	32	4.55	[{'HP:0009732': 0.5}, {'HP:0030693': 0.2}, {'HP:0009592': 1.0}, {'HP:0001067': 0.5}, {'HP:0009733': 1.0}]	[{'Plexiform neurofibroma': 0.5}, {'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 1.0}, {'Neurofibromas': 0.5}, {'Glioma': 1.0}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
120892	LRRK2	33	4.5	[{'HP:0030693': 0.2}, {'HP:0009592': 0.2}, {'HP:0012286': 0.2}, {'HP:0100545': 0.2}, {'HP:0001317': 0.2}, {'HP:0001056': 0.2}, {'HP:0025502': 0.2}, {'HP:0001067': 0.2}, {'HP:0007663': 0.2}, {'HP:0009733': 0.2}, {'HP:0000822': 0.2}]	[{'Supratentorial neoplasm': 0.2}, {'Astrocytoma': 0.2}, {'Abnormal hypothalamus morphology': 0.2}, {'Arterial stenosis': 0.2}, {'Abnormal cerebellum morphology': 0.2}, {'Milia': 0.2}, {'Overweight': 0.2}, {'Neurofibromas': 0.2}, {'Reduced visual acuity': 0.2}, {'Glioma': 0.2}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
7248	TSC1	34	4.45	[{'HP:0009732': 0.2}, {'HP:0009592': 1.0}, {'HP:0002315': 0.2}, {'HP:0001056': 0.2}, {'HP:0001067': 0.5}, {'HP:0009733': 0.5}, {'HP:0000822': 0.2}]	[{'Plexiform neurofibroma': 0.2}, {'Astrocytoma': 1.0}, {'Headache': 0.2}, {'Milia': 0.2}, {'Neurofibromas': 0.5}, {'Glioma': 0.5}, {'Hypertension': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
