Tous	HP:0000001
Inflammation de la prostate	HP:0000024
Anomalie fonctionnelle des organes génitaux internes masculins	HP:0000025
Hypogonadisme masculin	HP:0000026
Diminution de la fonction de la gonade masculine	HP:0000026
Azoospermie	HP:0000027
Absence de spermatozoïdes dans le sperme	HP:0000027
Cryptorchidie	HP:0000028
Cryptorchisme	HP:0000028
Testicules non descendus	HP:0000028
Testicule non descendu	HP:0000028
Atrophie testiculaire	HP:0000029
Dégénérescence testiculaire	HP:0000029
Gonadoblastome testiculaire	HP:0000030
Gonadoblastome, mâle	HP:0000030
Épididymite	HP:0000031
Anomalie des organes génitaux externes masculins	HP:0000032
Organes génitaux ambigus, masculin	HP:0000033
Organes génitaux ambigus chez les hommes	HP:0000033
Hydrocèle testiculaire	HP:0000034
Hydrocèle	HP:0000034
Hydrocèle testiculaire	HP:0000034
Morphologie anormale des testicules	HP:0000035
Anomalie du testicule	HP:0000035
Anomalie des testicules	HP:0000035
Morphologie anormale du pénis	HP:0000036
Anomalie du pénis	HP:0000036
Pseudohermaphrodisme masculin	HP:0000037
Épispadias	HP:0000039
Pénis long	HP:0000040
Pénis agrandi	HP:0000040
Pénis long	HP:0000040
Chordé	HP:0000041
Absence d'organes génitaux externes	HP:0000042
Absence d'organes génitaux externes	HP:0000042
Hypogonadisme hypogonadotrope	HP:0000044
Hypogonadisme hypogonadotrophique	HP:0000044
Hypogonadisme hypogonadotrope isolé	HP:0000044
Faible taux de gonadotrophines (hypogonadisme secondaire)	HP:0000044
Anomalie du scrotum	HP:0000045
Petit scrotum	HP:0000046
Scrotum hypoplasique	HP:0000046
Hypoplasie scrotale	HP:0000046
Croissance plus petite que la normale du scrotum	HP:0000046
Scrotum sous-développé	HP:0000046
Hypospadias	HP:0000047
Hypospadie	HP:0000047
Scrotum bifide	HP:0000048
Fente du scrotum	HP:0000048
Fente scrotale	HP:0000048
Scrotum châle	HP:0000049
Suppression du scrotum	HP:0000049
Le scrotum entoure le pénis	HP:0000049
Hypoplasie des organes génitaux externes masculins	HP:0000050
Appareils génitaux masculins hypoplasiques	HP:0000050
Petits organes génitaux externes masculins	HP:0000050
Organes génitaux masculins sous-développés	HP:0000050
Hypospadias périnéal	HP:0000051
Atrésie urétrale, homme	HP:0000052
Macroorchidie	HP:0000053
Gros testicules	HP:0000053
Gros testicule	HP:0000053
Micropénis	HP:0000054
Pénis court	HP:0000054
Petit pénis	HP:0000054
Anomalie des organes génitaux externes féminins	HP:0000055
Organes génitaux externes féminins anormaux	HP:0000055
Anomalie du clitoris	HP:0000056
Anomalie du clito	HP:0000056
Clitoromégalie obsolète	HP:0000057
Morphologie anormale des lèvres	HP:0000058
Anomalie des lèvres	HP:0000058
Grandes lèvres hypoplasiques	HP:0000059
Hypoplasie des grandes lèvres	HP:0000059
Petites grandes lèvres	HP:0000059
Lèvres vaginales sous-développées	HP:0000059
Hypoplasie clitoridienne	HP:0000060
Clitoris hypoplasique	HP:0000060
Petit clitoris	HP:0000060
Clito sous-développé	HP:0000060
Organes génitaux ambigus, féminins	HP:0000061
Organes génitaux ambigus dus à la virilisation	HP:0000061
Aspect atypique des organes génitaux féminins	HP:0000061
Des organes génitaux ambigus	HP:0000062
Organes génitaux externes ambigus	HP:0000062
Des organes génitaux externes ambigus à la naissance	HP:0000062
Organes génitaux intersexes	HP:0000062
Petites lèvres fusionnées	HP:0000063
Lèvres intérieures fusionnées	HP:0000063
Petites lèvres hypoplasiques	HP:0000064
Lèvres intérieures sous-développées	HP:0000064
Hypertrophie labiale	HP:0000065
Lèvres vaginales élargies	HP:0000065
Agrandissement des lèvres	HP:0000065
Agrandissement des lèvres vaginales	HP:0000065
Hypoplasie labiale	HP:0000066
Lèvres hypoplasiques	HP:0000066
Lèvres sous-développées	HP:0000066
Atrésie urétrale, femme	HP:0000067
Atrésie urétrale	HP:0000068
Ouverture urétrale absente	HP:0000068
Ouverture urétrale absente	HP:0000068
Anomalie de l'uretère	HP:0000069
Anomalie des uretères	HP:0000069
Problème d'uretère	HP:0000069
Anomalies urétérales	HP:0000069
Uretérocèle	HP:0000070
Sténose urétérale	HP:0000071
Rétrécissement de l'uretère	HP:0000071
Hydrouretère	HP:0000072
Uretère dilaté	HP:0000072
Mégauretère	HP:0000072
Gonflement de l'uretère	HP:0000072
Dilatation urétérale	HP:0000072
Uroumètre	HP:0000072
Uretère large	HP:0000072
Duplication urétérale	HP:0000073
Double uretère	HP:0000073
Obstruction de la jonction urétéro-pelvienne	HP:0000074
Obstruction de la jonction pelviurétérale	HP:0000074
Sténose de la jonction urétéro-pelvienne	HP:0000074
Duplication rénale	HP:0000075
Rein supplémentaire	HP:0000075
Rein surnuméraire	HP:0000075
Reflux vésico-urétéral	HP:0000076
Reflux urétéral	HP:0000076
Reflux urétéral	HP:0000076
Reflux vésico-urétéral	HP:0000076
Reflux vésico-urétéral	HP:0000076
Anomalie du rein	HP:0000077
Rein anormal	HP:0000077
Anomalie du rein	HP:0000077
Anomalies rénales	HP:0000077
Anomalie rénale	HP:0000077
Anomalie du système génital	HP:0000078
Anomalie du système reproducteur	HP:0000078
Anomalies génitales	HP:0000078
Anomalie génitale	HP:0000078
Anomalies génitales	HP:0000078
Malformations génitales	HP:0000078
Anomalie du système urinaire	HP:0000079
Anomalies des voies urinaires	HP:0000079
Anomalie des voies urinaires	HP:0000079
Anomalies des voies urinaires	HP:0000079
Anomalie de la physiologie du système reproducteur	HP:0000080
Anomalie de la physiologie génitale	HP:0000080
Anomalie de la physiologie du système reproducteur	HP:0000080
Anomalie fonctionnelle génitale	HP:0000080
Système de collecte dupliqué	HP:0000081
Double système de collecte	HP:0000081
Systèmes de double collecte urinaire sur pyélographie intraveineuse	HP:0000081
Système de collecte duplex	HP:0000081
Système de collecte rénale dupliqué	HP:0000081
Insuffisance rénale	HP:0000083
Insuffisance rénale	HP:0000083
Insuffisance rénale à l'âge adulte	HP:0000083
Rein en fer à cheval	HP:0000085
Reins fusionnés	HP:0000085
Rein en fer à cheval	HP:0000085
Reins en fer à cheval	HP:0000085
Rein extra-utérin	HP:0000086
Emplacement anormal des reins	HP:0000086
Rein déplacé	HP:0000086
Reins ectopiques	HP:0000086
Ectopie rénale	HP:0000086
Hypoplasie rénale	HP:0000089
Rein hypoplasique	HP:0000089
Reins hypoplasiques	HP:0000089
Petits reins	HP:0000089
Reins sous-développés	HP:0000089
Néphronophtisie	HP:0000090
néphronophtisie juvénile	HP:0000090
Morphologie anormale des tubules rénaux	HP:0000091
Anomalie du tubule rénal	HP:0000091
Anomalie morphologique des tubules rénaux	HP:0000091
Atrophie tubulaire rénale	HP:0000092
Atrophie des cellules tubulaires rénales	HP:0000092
Atrophie tubulaire	HP:0000092
Protéinurie	HP:0000093
Niveaux élevés de protéines urinaires	HP:0000093
Protéine dans l'urine	HP:0000093
Morphologie anormale du glomérule rénal	HP:0000095
Anomalie de la morphologie du glomérule rénal	HP:0000095
Anomalie morphologique du glomérule rénal	HP:0000095
Sclérose glomérulaire	HP:0000096
Glomérulosclérose	HP:0000096
Fibrose rénale glomérulaire	HP:0000096
Glomérulosclérose segmentaire focale	HP:0000097
Sclérose glomérulaire focale et segmentaire	HP:0000097
Glomérulosclérose focale et segmentaire	HP:0000097
glomérulosclérose focale	HP:0000097
Grande stature	HP:0000098
Croissance linéaire accélérée	HP:0000098
Augmentation de la hauteur du corps	HP:0000098
Croissance linéaire accrue	HP:0000098
Grande stature	HP:0000098
Glomérulonéphrite	HP:0000099
Néphrite glomérulaire	HP:0000099
Syndrome néphrotique	HP:0000100
Néphrose	HP:0000100
Polyurie	HP:0000103
Augmentation du débit urinaire	HP:0000103
Agénésie rénale	HP:0000104
Rein absent	HP:0000104
Rein manquant	HP:0000104
Aplasie rénale	HP:0000104
Rein hypertrophié	HP:0000105
Rein hypertrophié	HP:0000105
Gros rein	HP:0000105
Gros reins	HP:0000105
Néphromégalie	HP:0000105
Hypertrophie rénale	HP:0000105
Kyste rénal	HP:0000107
Maladie kystique des reins	HP:0000107
Reins kystiques	HP:0000107
Kyste rénal	HP:0000107
Kystes rénaux	HP:0000107
Kystes corticomédullaires rénaux	HP:0000108
Kystes rénaux corticomédullaires	HP:0000108
Maladie kystique corticomédullaire rénale	HP:0000108
Dysplasie rénale	HP:0000110
Reins dysplasiques	HP:0000110
Adysplasie rénale	HP:0000110
Hypertrophie/hyperplasie des cellules juxtaglomérulaires rénales	HP:0000111
Néphropathie	HP:0000112
Dommages aux reins	HP:0000112
Maladie du rein	HP:0000112
Dysplasie polykystique des reins	HP:0000113
Reins polykystiques hypertrophiés	HP:0000113
Polykystose rénale	HP:0000113
Reins polykystiques	HP:0000113
Tubulopathie proximale	HP:0000114
Anomalie du tubule rénal proximal	HP:0000114
Tubulopathie rénale proximale	HP:0000114
Défaut tubulaire proximal	HP:0000114
Dysfonctionnement du tubule proximal	HP:0000114
Lésions tubulaires proximales sélectives	HP:0000114
Perte rénale de phosphate	HP:0000117
Diminution de la réabsorption tubulaire rénale du phosphate	HP:0000117
Diminution du maximum tubulaire pour la réabsorption du phosphate par débit de filtration glomérulaire	HP:0000117
Réabsorption tubulaire du phosphate faible	HP:0000117
Anomalie phénotypique	HP:0000118
Anomalie d'un organe	HP:0000118
Anomalie du système génito-urinaire	HP:0000119
Anomalie du système GU	HP:0000119
Anomalie génito-urinaire	HP:0000119
Maladie génito-urinaire	HP:0000119
Dysplasie génito-urinaire	HP:0000119
Anomalies des voies génito-urinaires	HP:0000119
Malformation des voies génito-urinaires	HP:0000119
Anomalies urogénitales	HP:0000119
Anomalies urogénitales	HP:0000119
Néphrocalcinose	HP:0000121
Augmentation du taux de calcium dans les reins	HP:0000121
Trop de calcium déposé dans les reins	HP:0000121
Agénésie rénale unilatérale	HP:0000122
Rein absent d'un côté	HP:0000122
Il manque un rein	HP:0000122
Un seul rein	HP:0000122
Agénésie rénale unilatérale	HP:0000122
Néphrite	HP:0000123
Inflammation rénale	HP:0000123
Dysfonctionnement des tubules rénaux	HP:0000124
Fonction anormale des structures filtrantes dans les reins	HP:0000124
Anomalie tubulaire rénale	HP:0000124
Maladie tubulaire rénale	HP:0000124
Rein pelvien	HP:0000125
Rein sacré	HP:0000125
Hydronéphrose	HP:0000126
Perte rénale de sel	HP:0000127
Perte de sel dans l'urine	HP:0000127
Perte rénale de sel	HP:0000127
Gaspillage de sel	HP:0000127
Gaspillage de sel	HP:0000127
Perte rénale de potassium	HP:0000128
Émaciation rénale K	HP:0000128
Anomalie de l'utérus	HP:0000130
Anomalie de l'utérus	HP:0000130
Anomalies utérines	HP:0000130
Malformations utérines	HP:0000130
Léiomyome utérin	HP:0000131
Léiomyomes utérins bénins	HP:0000131
Fibrome utérin	HP:0000131
Ménorragie	HP:0000132
Saignements anormalement abondants pendant la menstruation	HP:0000132
Règles anormalement abondantes	HP:0000132
Hyperménorrhée	HP:0000132
Apprentissage gonadique	HP:0000133
Apprentissage Gonadique Mixte	HP:0000133
Apprentissage Gonadique Pure	HP:0000133
Hypogonadisme féminin	HP:0000134
Hypogonadisme, femme	HP:0000134
Hypogonadisme	HP:0000135
Diminution de l'activité des gonades	HP:0000135
Utérus bifide	HP:0000136
Anomalie de l'ovaire	HP:0000137
Anomalie des ovaires	HP:0000137
Anomalie de l'ovaire	HP:0000137
Maladie ovarienne	HP:0000137
Kyste de l'ovaire	HP:0000138
Anomalies kystiques des ovaires	HP:0000138
Ovaires kystiques	HP:0000138
Kyste de l'ovaire	HP:0000138
Anomalie kystique ovarienne	HP:0000138
Prolapsus utérin	HP:0000139
Utérus affaissé	HP:0000139
Anomalie du cycle menstruel	HP:0000140
Anomalie du cycle menstruel	HP:0000140
Anomalies menstruelles	HP:0000140
Aménorrhée	HP:0000141
Absence anormale de règles	HP:0000141
Morphologie vaginale anormale	HP:0000142
Malformation vaginale	HP:0000142
Fistule recto-vaginale	HP:0000143
Connexion anormale entre le rectum et le vagin	HP:0000143
Diminution de la fertilité	HP:0000144
Fertilité anormale	HP:0000144
Diminution de la fertilité	HP:0000144
Septum vaginal transversal	HP:0000145
Membrane vaginale transversale	HP:0000145
Ovaires polykystiques	HP:0000147
Ovaire polykystique	HP:0000147
Maladie des ovaires polykystiques	HP:0000147
Ovaires sclérokystiques	HP:0000147
Atrésie vaginale	HP:0000148
Vagin anormalement fermé ou absent	HP:0000148
Gonadoblastome ovarien	HP:0000149
Gonadoblastome, femme	HP:0000149
Gonadoblastome	HP:0000150
Aplasie de l'utérus	HP:0000151
Utérus absent	HP:0000151
utérus absent	HP:0000151
Anomalie de la tête ou du cou	HP:0000152
Anomalie de la tête ou du cou	HP:0000152
Anomalie de la tête et du cou	HP:0000152
Anomalie de la bouche	HP:0000153
Bouche anormale	HP:0000153
Anomalie de la bouche	HP:0000153
Large bouche	HP:0000154
Bouche large	HP:0000154
Grande bouche	HP:0000154
Grande ouverture buccale	HP:0000154
Macrostomie	HP:0000154
Large bouche	HP:0000154
Ulcère buccal	HP:0000155
Mal à la bouche	HP:0000155
Ulcère de la bouche	HP:0000155
Ulcération de la muqueuse buccale	HP:0000155
Anomalie de la langue	HP:0000157
Langue anormale	HP:0000157
Anomalie de la langue	HP:0000157
Anomalie glossale	HP:0000157
Anomalie linguale	HP:0000157
Anomalie de la langue	HP:0000157
Macroglossie	HP:0000158
Langue anormalement grosse	HP:0000158
Hypertrophie glossale	HP:0000158
Hyperplasie de la langue	HP:0000158
Hypertrophie de la langue	HP:0000158
Augmentation de la taille de la langue	HP:0000158
Grande langue	HP:0000158
Hyperplasie linguale	HP:0000158
Hypertrophie linguale	HP:0000158
Hypertrophie de la langue	HP:0000158
Morphologie anormale des lèvres	HP:0000159
Lèvre anormale	HP:0000159
Anomalie de la lèvre	HP:0000159
Anomalie de la lèvre	HP:0000159
Déformation de la lèvre	HP:0000159
Anomalie des lèvres	HP:0000159
Malformation de la lèvre	HP:0000159
Bouche étroite	HP:0000160
Microstomie	HP:0000160
Bouche étroite	HP:0000160
Petite bouche	HP:0000160
Petite ouverture buccale	HP:0000160
Fente labiale médiane	HP:0000161
Fente centrale de la lèvre supérieure	HP:0000161
Fente labiale médiane	HP:0000161
Glossoptose	HP:0000162
Rétraction linguale	HP:0000162
Déplacement postérieur de la langue	HP:0000162
Rétraction de la langue	HP:0000162
Morphologie anormale de la cavité buccale	HP:0000163
Anomalie de la cavité buccale	HP:0000163
Anomalie de la dentition	HP:0000164
Dentition anormale	HP:0000164
Dents anormales	HP:0000164
Anomalie des dents	HP:0000164
Anomalies dentaires	HP:0000164
Anomalie dentaire	HP:0000164
Anomalies dentaires	HP:0000164
Problème dentaire	HP:0000164
Problèmes dentaires	HP:0000164
Anomalies dentaires	HP:0000164
Parodontite sévère	HP:0000166
Maladie grave des gencives	HP:0000166
Maladie parodontale grave	HP:0000166
Pyorrhée sévère	HP:0000166
Anomalie de la gencive	HP:0000168
Anomalie des gencives	HP:0000168
Anomalie gingivale	HP:0000168
Fibromatose gingivale	HP:0000169
Fibrome gingival	HP:0000169
Nodules fibreux gingivaux	HP:0000169
Fibromatose gingivale héréditaire	HP:0000169
Hyperplasie gingivale idiopathique	HP:0000169
Microglossie	HP:0000171
Langue anormalement petite	HP:0000171
Diminution de la taille de la langue	HP:0000171
Hypoglossie	HP:0000171
Hypoplasie de la langue	HP:0000171
Langue hypoplasique	HP:0000171
Hypoplasie linguale	HP:0000171
Langue rudimentaire	HP:0000171
Petite langue	HP:0000171
Sous-développement de la langue	HP:0000171
Morphologie anormale de la luette	HP:0000172
Anomalie de la luette palatine	HP:0000172
Anomalie de la luette	HP:0000172
Morphologie anormale du palais	HP:0000174
Anomalie du palais	HP:0000174
Anomalie du palais	HP:0000174
Anomalie palatine	HP:0000174
Anomalie du palais	HP:0000174
Fente palatine	HP:0000175
Fente palatine dure et molle	HP:0000175
Fente du palais dur et mou	HP:0000175
Fente palatine	HP:0000175
Fente palatine	HP:0000175
Fente du toit de la bouche	HP:0000175
Fente palatine secondaire	HP:0000175
Palatoschisis	HP:0000175
Uranostaphyloschisis	HP:0000175
Fente palatine sous-muqueuse	HP:0000176
Fente palatine dure d'épaisseur partielle	HP:0000176
Fente palatine sous-muqueuse	HP:0000176
Fente sous-muqueuse	HP:0000176
Anomalie de la lèvre supérieure	HP:0000177
Anomalie de la lèvre supérieure	HP:0000177
Anomalie de la lèvre supérieure	HP:0000177
Déformation de la lèvre supérieure	HP:0000177
Malformation de la lèvre supérieure	HP:0000177
Anomalie de la lèvre inférieure	HP:0000178
Anomalie de la lèvre inférieure	HP:0000178
Anomalie de la lèvre inférieure	HP:0000178
Déformation de la lèvre inférieure	HP:0000178
Malformation de la lèvre inférieure	HP:0000178
Vermillon épais de la lèvre inférieure	HP:0000179
Lèvre inférieure pleine	HP:0000179
Lèvre inférieure pleine vermillon	HP:0000179
Augmentation de la hauteur du vermillon de la lèvre inférieure	HP:0000179
Augmentation du volume de la lèvre inférieure	HP:0000179
Augmentation du volume du vermillon de la lèvre inférieure	HP:0000179
Lèvre inférieure charnue	HP:0000179
Lèvre inférieure proéminente	HP:0000179
Vermillon de la lèvre inférieure proéminente	HP:0000179
Lèvre inférieure épaisse	HP:0000179
Partie rouge épaisse de la lèvre inférieure	HP:0000179
Bordure vermillon épaisse de la lèvre inférieure	HP:0000179
Langue lobulée	HP:0000180
Langue bosselée	HP:0000180
Lobules linguaux	HP:0000180
Langue lobulée	HP:0000180
Anomalie de mouvement de la langue	HP:0000182
Anomalie du mouvement lingual	HP:0000182
Anomalie de mouvement de la langue	HP:0000182
Difficulté dans les mouvements de la langue	HP:0000183
Difficulté dans les mouvements linguaux	HP:0000183
Difficulté dans les mouvements de la langue	HP:0000183
Hypokinésie de la langue	HP:0000183
Hypokinésie linguale	HP:0000183
Fente palatine molle	HP:0000185
Fente palatine musculaire	HP:0000185
Fente du palais mou	HP:0000185
Fente l'écran	HP:0000185
Larges crêtes alvéolaires	HP:0000187
Larges marges alvéolaires	HP:0000187
Processus alvéolaires larges de la mâchoire	HP:0000187
Larges marges alvéolaires	HP:0000187
Processus alvéolaires larges de la mâchoire	HP:0000187
Larges crêtes de gencives	HP:0000187
Crêtes alvéolaires élargies	HP:0000187
Lèvre supérieure courte	HP:0000188
Diminution de la hauteur de la lèvre supérieure	HP:0000188
Diminution de la hauteur labiale supérieure	HP:0000188
Diminution de la longueur labiale supérieure	HP:0000188
Diminution de la longueur verticale de la lèvre supérieure	HP:0000188
Lèvre supérieure courte	HP:0000188
Raccourcissement de la lèvre supérieure	HP:0000188
Déficience verticale de la lèvre supérieure	HP:0000188
Palais étroit	HP:0000189
Diminution de la largeur palatine	HP:0000189
Diminution de la dimension transversale du palais	HP:0000189
Palais étroit	HP:0000189
Toit étroit de la bouche	HP:0000189
Morphologie anormale du frein buccal	HP:0000190
Anomalie du frein de la langue	HP:0000190
Anomalie du frein lingual	HP:0000190
Anomalie de la freinale buccale	HP:0000190
Anomalie du frein buccal	HP:0000190
Frein buccal accessoire	HP:0000191
Frein buccal accessoire	HP:0000191
Un petit plus	HP:0000191
Mors oral supplémentaire	HP:0000191
Frein buccal multiple	HP:0000191
Frein buccal surnuméraire	HP:0000191
Mors oral surnuméraire	HP:0000191
Luette bifide	HP:0000193
Luette palatine bifide	HP:0000193
Fente de la luette	HP:0000193
Luette fendue	HP:0000193
Luette fourchue	HP:0000193
Luette fendue	HP:0000193
Luette bifida	HP:0000193
Bouche ouverte	HP:0000194
Apparence de mâchoire béante	HP:0000194
Apparence bouche bée	HP:0000194
Bouche ouverte	HP:0000194
Aspect bouche ouverte	HP:0000194
Apparence de mâchoire lâche	HP:0000194
Fosse à lèvre inférieure	HP:0000196
Morphologie anormale de la glande parotide	HP:0000197
Anomalie de la glande parotide	HP:0000197
Anomalie de la glande parotide	HP:0000197
Absence de canal de Stensen	HP:0000198
Absence de canal parotide	HP:0000198
Canal de Stensen absent	HP:0000198
Agénésie du canal parotide	HP:0000198
Agénésie du canal de Stensen	HP:0000198
Échec du développement du canal parotide	HP:0000198
Échec du développement du canal de Stensen	HP:0000198
Canal parotide manquant	HP:0000198
Il manque le conduit de tige	HP:0000198
Nodules de la langue	HP:0000199
Nodules lingual	HP:0000199
Frein lingual court	HP:0000200
Déficit du frein lingual	HP:0000200
Hypoplasie du frein lingual	HP:0000200
Hypoplasie du mors lingual	HP:0000200
Hypoplasie du frein de la langue	HP:0000200
Hypoplasie du mors de langue	HP:0000200
Mors lingual court	HP:0000200
Frein de langue court	HP:0000200
Mors de langue court	HP:0000200
Frein lingual serré	HP:0000200
Séquence Pierre-Robin	HP:0000201
Séquence Pierre Robin	HP:0000201
Anomalie de Pierre-Robin	HP:0000201
Malformation de Pierre-Robin	HP:0000201
Malformation de Pierre-Robin	HP:0000201
Séquence Robin	HP:0000201
Fente buccale	HP:0000202
Fente labiale, fente palatine	HP:0000202
Fente labiale/palatine	HP:0000202
Fente de la bouche	HP:0000202
Fente buccale	HP:0000202
Fente lèvre supérieure	HP:0000204
Cheiloschisis de la lèvre supérieure	HP:0000204
Fente de la lèvre supérieure	HP:0000204
Fente lèvre supérieure	HP:0000204
Bec-de-Lièvre	HP:0000204
Lèvres pincées	HP:0000205
Lèvres pincées	HP:0000205
Lèvres bien fermées	HP:0000205
Glossite	HP:0000206
Inflammation de la langue	HP:0000206
Inflammation linguale	HP:0000206
Langue lisse et gonflée	HP:0000206
Bouche triangulaire	HP:0000207
Bouche triangulaire	HP:0000207
Bouche de forme triangulaire	HP:0000207
Ouverture buccale de forme triangulaire	HP:0000207
Trismus	HP:0000211
Diminution de la mobilité de la mâchoire	HP:0000211
Diminution du mouvement de la mâchoire	HP:0000211
Diminution de l'ouverture de la mâchoire	HP:0000211
Diminution de la mobilité mandibulaire	HP:0000211
Diminution du mouvement mandibulaire	HP:0000211
Diminution de l'ouverture mandibulaire	HP:0000211
Mobilité limitée de la mâchoire	HP:0000211
Mouvement limité de la mâchoire	HP:0000211
Ouverture de la mâchoire limitée	HP:0000211
Mobilité mandibulaire limitée	HP:0000211
Ouverture mandibulaire limitée	HP:0000211
Ouverture de bouche limitée	HP:0000211
Tétanos	HP:0000211
Douleur des muscles de la mastication	HP:0000211
Croissance gingivale	HP:0000212
Augmentation gingivale	HP:0000212
Hyperplasie gingivale	HP:0000212
L'élargissement des gencives	HP:0000212
Hypertrophie des gencives	HP:0000212
Gingivite hypertrophique	HP:0000212
Hyperplasie des tissus mous buccaux	HP:0000212
Télangiectasie des lèvres	HP:0000214
Angioectasies de la lèvre	HP:0000214
Angioectasies labiales	HP:0000214
Télangiectasie labiale	HP:0000214
Télangiectasies labiales	HP:0000214
Veines araignées de la lèvre	HP:0000214
Télangiectasie des lèvres	HP:0000214
Vermillon épais de la lèvre supérieure	HP:0000215
Lèvre supérieure pleine	HP:0000215
Lèvre supérieure pleine vermillon	HP:0000215
Augmentation de la hauteur du vermillon de la lèvre supérieure	HP:0000215
Augmentation du volume de la lèvre supérieure	HP:0000215
Augmentation du volume du vermillon de la lèvre supérieure	HP:0000215
Lèvre supérieure charnue	HP:0000215
Lèvre supérieure proéminente	HP:0000215
Vermillon de la lèvre supérieure proéminente	HP:0000215
Partie rouge épaisse de la lèvre supérieure	HP:0000215
Lèvre supérieure épaisse	HP:0000215
Bordure vermillon épaisse de la lèvre supérieure	HP:0000215
Large crête alvéolaire secondaire	HP:0000216
Crêtes alvéolaires secondaires	HP:0000216
Xérostomie	HP:0000217
Diminution du flux salivaire	HP:0000217
Bouche sèche	HP:0000217
Syndrome de bouche sèche	HP:0000217
Salivation réduite	HP:0000217
Bouche haute	HP:0000218
Palais surélevé	HP:0000218
Palais haut et voûté	HP:0000218
Bouche haute	HP:0000218
Palais haut et arqué	HP:0000218
Palais haut arqué	HP:0000218
Augmentation de la hauteur palatine	HP:0000218
Palais ogival	HP:0000218
Palais très voûté	HP:0000218
Palais, très voûté	HP:0000218
Fine lèvre supérieure vermillon	HP:0000219
Diminution de la hauteur du vermillon de la lèvre supérieure	HP:0000219
Diminution du volume de la lèvre supérieure	HP:0000219
Diminution du volume du vermillon de la lèvre supérieure	HP:0000219
Fine partie rouge de la lèvre supérieure	HP:0000219
Lèvre supérieure fine	HP:0000219
Lèvres supérieures fines	HP:0000219
Fine bordure vermillon de la lèvre supérieure	HP:0000219
Insuffisance vélopharyngée	HP:0000220
Dysfonctionnement vélopharyngé	HP:0000220
Incompétence vélopharyngée	HP:0000220
Langue plissée	HP:0000221
Langue fissurée	HP:0000221
Languette rainurée	HP:0000221
Sillon lingual	HP:0000221
Langue pliée	HP:0000221
Langue plissée	HP:0000221
Rainures de langue proéminentes	HP:0000221
Langue scrotale	HP:0000221
Hyperkératose gingivale	HP:0000222
Hyperkératose gingivale	HP:0000222
Anomalie de la sensation gustative	HP:0000223
Anomalie de la sensation gustative	HP:0000223
Hypogueusie	HP:0000224
Goût diminué	HP:0000224
Diminution de la sensation gustative	HP:0000224
Saignement gingival	HP:0000225
Saignement des gencives	HP:0000225
Hémorragie gingivale	HP:0000225
Hémorragie gingivale	HP:0000225
Gingivorragie	HP:0000225
Télangiectasie de la langue	HP:0000227
Angioectasies de la langue	HP:0000227
Angioectasies linguales	HP:0000227
Télangiectasie linguale	HP:0000227
Veines araignées de la langue	HP:0000227
Télangiectasie de la cavité buccale	HP:0000228
Angioectasies de la bouche	HP:0000228
Angioectasies de la cavité buccale	HP:0000228
Télangiectasie de la cavité buccale	HP:0000228
Veines araignées de la bouche	HP:0000228
Veines araignées de la cavité buccale	HP:0000228
Gingivite	HP:0000230
Inflammation gingivale	HP:0000230
Gencives enflammées	HP:0000230
Gencives rouges et gonflées	HP:0000230
Lèvre inférieure inversée vermillon	HP:0000232
